Fecha,Autor_ID,Contenido
2025-06-17 01:44:35+00:00,157760780,"Me gusta el argumento de que intervinieron 17 jueces y fiscales en el juicio a CFK, entonces no hubo lawfare porque no se pudieron confabular.
Como si el estado de derecho se midiera con un ábaco. 
8 visitaban a Macri o a Clarín, 9 no. Listo, 9 a 8, es justo."
2025-06-17 01:44:33+00:00,715147250,@Joepsi Ajajjaja hay kumpa kumpa era más fácil matarla ahí...hasta mi nene de 3 años me preguntó porque ahora Cristina anda sin seguridad si sufrió un atentando.. https://t.co/75j3bBM4wh
2025-06-17 01:44:30+00:00,2772199487,"No pudieron ni podrán MOVIMIENTO NACIONAL JUSTICISLISTA VIVA PERÓN VIVA EVITA VIVA NESTOR Y CRISTINA 💪💪💪❤❤❤🇦🇷🇦🇷🇦🇷✌✌✌
https://t.co/0PLH71k9Kc"
2025-06-17 01:44:28+00:00,1852840632827432960,"@rossi_delfina Directora banco nacion 

No te daba la cabeza

Cristina lo hizo

Por eso como termo vas a la procesión de monos."
2025-06-17 01:44:25+00:00,1794787452520955904,"Marchamos  con #Cristina porque..
En la Justicia,
Periodistas ensobrados, Empresarios de Poder y en el Gobierno están RE CAGADOS! 
@C5N @Gatosylvestre @pabloduggan @aleberco @eldestapeweb @fernandoborroni
@pagina12 @wadodecorrido
@mayrasmendoza
@JuanGrabois
Junto a
@CFKArgentina https://t.co/n7h9Ll87Rl"
2025-06-17 01:44:23+00:00,1886830600675319808,Son mas gorilas que la Plager y Cristina Perez juntas https://t.co/IPqklpXQEy
2025-06-17 01:44:21+00:00,154929668,"@Editor_76 Manga de Fabuladores, los dos jueces los termino aprobando los senadores peronistas y aparte la Corte solo se expidió sobre la solicitud de la kondenada korrupta y no sobre la condena. Está fue dictada y rectificada en todas las instancias. Patétikos fabuladores korruptos"
2025-06-17 01:44:17+00:00,154955447,"@FedeGiammaria No se si estaría tan seguro. Hay cientos de personas haciendo guardia frente al balcón de Cristina y están TODO el dia hablando del tema en la calle virtual y la calle no virtual.

Esa movilización YA se esta hablando por todos lados. No van a poder minimizarla en TW"
2025-06-17 01:44:16+00:00,1496891712500817921,@lamanuc @Sebatotales @camidolabjian @grok @grok segun la justicia argentina. Cfk es una delincuente.
2025-06-17 01:44:14+00:00,4572360569,@KSDoficial_ Cristina es un mito.
2025-06-17 01:44:09+00:00,135951915,Para el balcón de Cristina tiene que encabezar la lista de diputados este año
2025-06-17 01:44:08+00:00,1471923860870250503,Cristina y el fotógrafo volvieron a salir al balcón https://t.co/UctgYQJFeJ
2025-06-17 01:44:03+00:00,1893365618973515777,@juanKa_molina Cristina NO es peronismo es la mierda del kirchnerismo
2025-06-17 01:43:58+00:00,1110886752175210496,@Exforradelengua Same con Cristina
2025-06-17 01:43:55+00:00,4048296675,@Nicope_1 @juan_chino1 @A__Senna @elcancillercom Falso. Los gorilas no se cagan de risa. Le tienen muchísimo miedo a CFK. El gobierno quiere bajar la marcha del miércoles como sea.
2025-06-17 01:43:55+00:00,269029195,"JAJAJAJAJJAAJJAAJJA absolutamente triggereados por un balcón 🤣 quédate con quien piense en vos como los gorilas en Cristina (si puede ser un toque menos tóxico, mejor). https://t.co/qKmySLBQey"
2025-06-17 01:43:54+00:00,1560328614234804225,"@ezequ79 MACRI (2017) + CFK/MASSA (2021) + MILEI (2024)
SE VIENEN LOS REFUGIADOS SIONISTAS
A #ANDINIA CON SEGURIDAD SOCIAL !!!
Ciudad de Buenos Aires, 08/09/2021
CLAUDIA LEDESMA ABDALA - SERGIO MASSA
Ley 27641
Aprobación.

El Senado y Cámara de Diputados de la Nación Argentina reunidos en"
2025-06-17 01:43:51+00:00,245798822,Mi celular entró en un lapsus y le puso dalila de fondo a una entrevista de youtube sobre Cristina https://t.co/BmmIDHbJks
2025-06-17 01:43:51+00:00,1172650801,@Rivadavia630 @ignacioortelli Coincido totalmente. Le dió a la delincuente de Cristina Fernández el tiempo necesario para que siga haciendo daño. Lamentable.
2025-06-17 01:43:50+00:00,1371921585213480960,"@TugoNews Deja de masturbarte con Cristina, te van a salir pelos en la mano. https://t.co/tUg6WYpwtw"
2025-06-17 01:43:50+00:00,1166702538969767936,"@BetoMendeleiev_ Cabe recordar que los muy hijos de puta de los iranies nos clavaron 2 atentados terroristas.
Aun hay mogos que defienden a cristina que abiertamente traiciono a la patria con su memorandun y bueno, ahi los tenes a los ""patriotas"" que nos dejaron a el EJ desmantelado"
